LCL#,Author,Title,Lang,Perseus Orig Text,Perseus Eng Trans,TLG/PHI ID,Notes
G373,Isocrates,Works III: Evagoras. Helen. Busiris. etc.,Gk,Y,Y,tlg0010,
G377,Diodorus Siculus,Library of History IX: Bks 18-19,Gk,Y,Y,tlg0060,
G378,Dionysius of Halicarnassus,Roman Antiquities VI,Gk,Y,Y,tlg0081,
G435,Ptolemy,Tetrabiblos,Gk,N,N,,
G436,Babrius/Phaedrus,Fables,Gk,P,N,,Babrius Greek; Phaedrus Latin
G454,Herodian,History of Empire I (Bks 1-4),Gk,N,N,tlg0015,
G455,Herodian,History of Empire II (Bks 5-8),Gk,N,N,tlg0015,
G458,Philostratus,Life of Apollonius of Tyana III,Gk,Y,N,tlg0638,
G481,Chariton,Callirhoe,Gk,N,N,tlg0554,
G487,Josephus,II: Jewish War (new ed),Gk,Y,Y,tlg0526,Replaces older G203/G210
G489,Josephus,"VI: Jewish Antiquities (Bks 9-11, new ed)",Gk,Y,Y,tlg0526,
G490,Josephus,Jewish Antiquities (new ed vol),Gk,Y,Y,tlg0526,
